ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0141198	protein branched polyubiquitination	5/23	17/18986	0.29411764705882354	242.78772378516624	34.73379089638315	1.003793702559743e-11	8.060463431554736e-9	5.822003474846509e-9	ANAPC4/ANAPC2/ANAPC11/ANAPC7/ANAPC15	5
GO:0031145	anaphase-promoting complex-dependent catabolic process	5/23	24/18986	0.20833333333333334	171.97463768115944	29.188443605730914	6.856772679362825e-11	2.752994230764174e-8	1.988464077015219e-8	ANAPC4/ANAPC2/ANAPC11/ANAPC7/ANAPC15	5
GO:0051983	regulation of chromosome segregation	7/23	135/18986	0.05185185185185185	42.80257648953301	16.975338140360723	1.7516450125092193e-10	4.688569816816344e-8	3.3865136908511574e-8	ANAPC4/ANAPC2/C9orf78/BUB3/ANAPC11/ANAPC7/ANAPC15	7
GO:0070979	protein K11-linked ubiquitination	5/23	39/18986	0.1282051282051282	105.83054626532886	22.82262640124881	9.178590996998554e-10	1.84260214264746e-7	1.3308956945647906e-7	ANAPC4/ANAPC2/ANAPC11/ANAPC7/ANAPC15	5
GO:0007091	metaphase/anaphase transition of mitotic cell cycle	6/23	97/18986	0.061855670103092786	51.0605109816226	17.214418556112744	1.4308927972003184e-9	2.2980138323037112e-7	1.6598356447523693e-7	ANAPC4/ANAPC2/BUB3/ANAPC11/ANAPC7/ANAPC15	6
GO:0044784	metaphase/anaphase transition of cell cycle	6/23	100/18986	0.06	49.52869565217391	16.94510725646545	1.7221315941858217e-9	2.3047861168853582e-7	1.664727207712961e-7	ANAPC4/ANAPC2/BUB3/ANAPC11/ANAPC7/ANAPC15	6
GO:0033045	regulation of sister chromatid segregation	6/23	108/18986	0.05555555555555555	45.85990338164252	16.282006244306114	2.747486518272176e-9	3.151759534532224e-7	2.2764888294255174e-7	ANAPC4/ANAPC2/BUB3/ANAPC11/ANAPC7/ANAPC15	6
GO:0033044	regulation of chromosome organization	7/23	258/18986	0.027131782945736434	22.39669700033704	12.051097094022298	1.6061452093843603e-8	1.6121682539195516e-6	1.1644552768036613e-6	ANAPC4/ANAPC2/BUB3/ANAPC11/ACTR8/ANAPC7/ANAPC15	7
GO:0051445	regulation of meiotic cell cycle	5/23	70/18986	0.07142857142857142	58.962732919254655	16.919943856976513	1.8826734098791853e-8	1.6797630534810956e-6	1.2132784196999195e-6	ANAPC4/ANAPC2/ANAPC11/ANAPC7/ANAPC15	5
GO:0051321	meiotic cell cycle	7/23	295/18986	0.023728813559322035	19.58761974944731	11.20557675970955	4.034000787251649e-8	3.239302632163074e-6	2.3397204566059563e-6	ANAPC4/ANAPC2/C9orf78/BUB3/ANAPC11/ANAPC7/ANAPC15	7
GO:0098813	nuclear chromosome segregation	7/23	324/18986	0.021604938271604937	17.834406870638755	10.6440505451141	7.659688603069807e-8	5.312132139988109e-6	3.836907398746081e-6	ANAPC4/ANAPC2/C9orf78/BUB3/ANAPC11/ANAPC7/ANAPC15	7
GO:0030071	regulation of mitotic metaphase/anaphase transition	5/23	93/18986	0.053763440860215055	44.380551659654046	14.605007312107839	7.93842910085396e-8	5.312132139988109e-6	3.836907398746081e-6	ANAPC4/BUB3/ANAPC11/ANAPC7/ANAPC15	5
GO:1902099	regulation of metaphase/anaphase transition of cell cycle	5/23	96/18986	0.052083333333333336	42.99365942028986	14.365444064717193	9.314322609210442e-8	5.753385427073835e-6	4.155620856416966e-6	ANAPC4/BUB3/ANAPC11/ANAPC7/ANAPC15	5
GO:0070936	protein K48-linked ubiquitination	5/23	99/18986	0.050505050505050504	41.690821256038646	14.136707057701589	1.0873103067347726e-7	6.236501259343017e-6	4.504571270758344e-6	ANAPC4/ANAPC2/ANAPC11/ANAPC7/ANAPC15	5
