id	Score	FDR	LogFDR	EntrezID	Symbol	HumanGene
C1orf109	-2.7905	0.000825	3.08354605145007	54955	C1orf109	C1orf109
ANAPC4	-1.9675	0.000825	3.08354605145007	29945	ANAPC4	ANAPC4
C7orf26	-2.083	0.000825	3.08354605145007	79034	C7orf26	C7orf26
C3orf17	-2.1187	0.000825	3.08354605145007	25871	C3orf17	C3orf17
C14orf80	-1.542	0.000825	3.08354605145007	283643	C14orf80	C14orf80
C16orf80	-1.0385	0.000825	3.08354605145007	29105	C16orf80	C16orf80
ANAPC2	-1.1249	0.00275	2.56066730616974	29882	ANAPC2	ANAPC2
C9orf78	-1.0449	0.00275	2.56066730616974	51759	C9orf78	C9orf78
C9orf41	-1.5857	0.00275	2.56066730616974	138199	C9orf41	C9orf41
BUB3	-1.3932	0.003427	2.46508589557013	9184	BUB3	BUB3
ARL2	-0.8766	0.003427	2.46508589557013	402	ARL2	ARL2
BYSL	-0.92609	0.003427	2.46508589557013	705	BYSL	BYSL
ANAPC11	-0.85512	0.003427	2.46508589557013	51529	ANAPC11	ANAPC11
BCL2	-1.1857	0.00363	2.44009337496389	596	BCL2	BCL2
C12orf44	-0.62656	0.00363	2.44009337496389	60673	C12orf44	C12orf44
ACTR8	-0.79283	0.004022	2.39555793373928	93973	ACTR8	ACTR8
C9orf114	-1.0595	0.004368	2.35971737030332	51490	C9orf114	C9orf114
CCDC115	-1.3731	0.006076	2.21638223480925	84317	CCDC115	CCDC115
ANAPC7	-0.96837	0.006076	2.21638223480925	51434	ANAPC7	ANAPC7
C19orf70	-0.918	0.006076	2.21638223480925	125988	C19orf70	C19orf70
BRD8	-1.5945	0.006076	2.21638223480925	10902	BRD8	BRD8
C21orf59	-1.4084	0.006076	2.21638223480925	56683	C21orf59	C21orf59
C12orf45	-0.24363	0.011287	1.94742147495534	121053	C12orf45	C12orf45
CASC3	-0.72239	0.011287	1.94742147495534	22794	CASC3	CASC3
ALG2	-0.88339	0.011287	1.94742147495534	85365	ALG2	ALG2
BCAS2	-0.67252	0.011615	1.93498078586375	10286	BCAS2	BCAS2
CAD	-0.99151	0.013385	1.87338162447705	790	CAD	CAD
BAP1	-0.59953	0.019979	1.69942625311457	8314	BAP1	BAP1
BRF1	-0.76996	0.021152	1.67464856219445	2972	BRF1	BRF1
ACIN1	-0.81135	0.021152	1.67464856219445	22985	ACIN1	ACIN1
ASH2L	-0.99375	0.021152	1.67464856219445	9070	ASH2L	ASH2L
BPTF	-0.73951	0.021152	1.67464856219445	2186	BPTF	BPTF
BUD31	-1.3727	0.021152	1.67464856219445	8896	BUD31	BUD31
C16orf72	-0.18049	0.038585	1.41358149541403	29035	C16orf72	C16orf72
ANAPC15	-0.91206	0.047949	1.31922044582409	25906	ANAPC15	ANAPC15
C11orf83	-0.6125	0.047992	1.3188311510706	790955	C11orf83	C11orf83
C17orf70	-0.8577	0.050174	1.29952127452179	80233	C17orf70	C17orf70
CARM1	-0.58557	0.052762	1.27767875041716	10498	CARM1	CARM1
C8orf33	-1.125	0.058264	1.23459970305379	65265	C8orf33	C8orf33
ASNA1	-0.2787	0.070152	1.15395994293096	439	ASNA1	ASNA1
C10orf32	-0.54563	0.070152	1.15395994293096	119032	C10orf32	C10orf32
AHCY	-0.49299	0.076025	1.11904357118383	191	AHCY	AHCY
ATPAF2	-0.73956	0.078172	1.10694877664653	91647	ATPAF2	ATPAF2
BDP1	-0.68103	0.090347	1.04408626374585	55814	BDP1	BDP1
C19orf52	-0.51944	0.0956	1.0195421077239	90580	C19orf52	C19orf52
C1orf127	-0.59527	0.09675	1.01434902630905	148345	C1orf127	C1orf127
C6orf57	-1.0541	0.11028	0.957503242566264	135154	C6orf57	C6orf57
C17orf96	-0.3441	0.116233	0.93467055281287	100170841	C17orf96	C17orf96
BANP	-0.43163	0.119923	0.921097515690555	54971	BANP	BANP
AQR	-0.57392	0.132772	0.876893502736278	9716	AQR	AQR
BCR	-0.61595	0.138323	0.859105600493844	613	BCR	BCR
C21orf2	-0.59624	0.140042	0.853741695516535	755	C21orf2	C21orf2
