sgRNA	Gene	HL60.initial	KBM7.initial	HL60.final	KBM7.final
A1CF_m52595977	A1CF	307.19916515752925	472.10613654498223	572.324835327262	101.94147891570587
A1CF_m52596017	A1CF	424.0213828934911	709.8822199143528	1007.2398574162686	1101.5504950262846
A1CF_m52596056	A1CF	607.1870823066658	634.069555651655	366.8582749662857	442.1347571258329
A1CF_m52603842	A1CF	395.1763908599203	418.69266854171786	203.5220818717557	498.0569398453058
A1CF_m52603847	A1CF	0.0	86.15075484397487	93.98312697899546	154.9510479518729
A1CF_p52595870	A1CF	898.5215018457311	1004.5178014807469	974.1837230995184	650.677896850534
A1CF_p52595881	A1CF	700.933306415771	651.29970662045	1150.4831061221857	923.2985376079646
A1CF_p52596023	A1CF	281.2386723273155	739.1734765613044	507.50888568657547	450.8725981757505
A1CF_p52601638	A1CF	1073.0337036488345	790.8639294676892	799.1806590696648	1402.1322271434515
A1CF_p52603829	A1CF	109.61096972756913	244.6681437568886	215.18895280707926	274.3682089674141
AAAS_m53714382	AAAS	1015.343719581693	1156.1431300061427	517.8794376290853	830.6774224788375
AAAS_m53715169	AAAS	938.9044906927303	1080.3304657434448	516.5831186362716	984.463424957388
AAAS_m53715176	AAAS	786.0260329148049	153.34834362227525	254.07852259149115	386.7950971430211
AAAS_m53715212	AAAS	366.3313988263494	585.8251329390291	278.0604239585452	432.2318706025929
AAAS_m53715238	AAAS	46.151987253713315	232.60703807873213	272.87514798729023	44.85425072291058
AAAS_p53714367	AAAS	465.84662134216876	565.1489517764751	422.5999916572761	273.2031634940917
AAAS_p53714374	AAAS	422.5791332918125	449.7069402855488	554.8245289242766	563.8820090880188
AAAS_p53714391	AAAS	408.15663727502715	687.4830236549194	618.3441595721495	547.5713724615058
AAAS_p53714405	AAAS	1613.8773042782875	1474.9009229288497	1433.7288060519859	1581.5492300350938
AAAS_p53714441	AAAS	393.7341412582417	563.4259366795956	708.4383295727037	482.9113486921152
AAK1_m69870049	AAK1	524.9788550109889	801.2020200489662	449.1745310099576	1168.5406097423197
AAK1_m69870056	AAK1	915.8284970658736	1218.1716734938045	1447.988314972937	2047.567419364035
AAK1_m69870103	AAK1	699.4910568140924	778.8028237895328	592.4177797158748	366.4068013598799
AAK1_m69870119	AAK1	584.1110886798092	473.82915164186176	522.4165541039333	487.5715305854046
AAK1_m69870125	AAK1	395.1763908599203	603.055283907824	1180.9466024533085	1223.8802697251315
AAK1_m69870131	AAK1	1087.45619966562	1314.6605189190564	914.5530494300868	1536.1124565755222
AAK1_m69870137	AAK1	1305.2358895190796	506.5664384825722	331.857662160315	464.8531438556187
AAK1_p69870063	AAK1	475.9423685539186	287.74352117887605	235.93005669209893	663.4933970570798
AAK1_p69870070	AAK1	1429.2693552634341	1237.1248395594791	1160.2054985682887	979.8032430640986
AAK1_p69870105	AAK1	274.0274243189228	280.8514607913581	597.6030556871298	651.2604195871952
AATF_m35306444	AATF	647.5700711536649	785.6948841770508	904.8306569839839	816.6968767989692
AATF_m35306475	AATF	711.0290536275207	1054.4852392902524	714.2717650403655	312.8147095870517
AATF_m35306482	AATF	820.6400233550899	1250.908960334515	481.5825058303009	181.16457110162585
AATF_m35306509	AATF	360.56240041963525	554.8108611951981	308.52392028966784	118.83463827887998
AATF_m35307516	AATF	509.114109392525	613.393374489101	644.9186989248309	314.5622777970352
AATF_m35307525	AATF	398.0608900632773	251.5602041444066	333.1539811531287	169.5141163684023
AATF_p35306410	AATF	2056.6479319935997	1902.2086669549649	1616.5097840387218	641.3575330639552
AATF_p35306466	AATF	272.5851747172443	422.13869873547685	187.31809446158405	0.0
AATF_p35307505	AATF	976.4029803363724	463.49106106058474	747.9760588535224	280.1934363340258
AATF_p35307527	AATF	2144.6251576959908	1438.7176058943803	1789.5683695793548	1896.111507832129
AATK_m79102275	AATK	895.637002642374	749.5115671425813	2960.7925795865604	646.0177149572446
AATK_m79102281	AATK	670.6460647805217	792.5869445645687	1125.204885762318	1544.2677748887786
AATK_m79102298	AATK	1047.0732108186207	1374.9660473098388	1645.0288018806239	1558.830843305308
AATK_m79102320	AATK	1446.5763504835768	1128.5748884560708	1252.2441470580636	1877.4707802589714
AATK_m79102325	AATK	912.9439978625165	1244.016899946997	1214.6508962664655	1182.521155422188
AATK_p79102286	AATK	1851.8484885552468	968.3344844462774	1195.2061113742595	946.0169243377504
AATK_p79102311	AATK	105.2842209225335	317.0347778258275	546.3984554709874	163.68888900179056
AATK_p79104850	AATK	429.79038130020524	544.4727706139212	328.61686467828065	350.6786874700282
AATK_p79104858	AATK	409.59888687670565	596.163223520306	586.584344248213	496.3093716353223
AATK_p79104864	AATK	861.023012202089	1102.7296620028783	1454.4699099370055	1481.3553193293715
ABCB8_m150725643	ABCB8	586.9955878831662	1004.5178014807469	1126.5012047551318	1719.0245958871315
ABCB8_m150725669	ABCB8	1184.0869229780822	732.2814161737864	978.7208395743664	627.376987384087
ABCB8_m150730720	ABCB8	144.2249601678541	258.4522645319246	300.74600633278544	252.23234497428936
ABCB8_p150725600	ABCB8	429.79038130020524	387.6783967978869	226.85582374240283	280.775959070687
ABCB8_p150725605	ABCB8	147.1094593712112	251.5602041444066	904.8306569839839	249.3197312909835
