Gene	time|beta	time|fdr	drug|beta	drug|fdr	class
XRCC3	-0.037188	0.99607	-1.5523	0	Synthetic lethal
FANCC	0.062447	0.99607	-1.462	0	Synthetic lethal
FANCD2	-0.045226	0.99607	-1.4372	0	Synthetic lethal
BRCA2	-0.042951	0.99607	-1.3783	0	Synthetic lethal
RAD51	0.04508	0.99607	-1.3625	0	Synthetic lethal
FANCB	0.015766	0.99607	-1.3418	0	Synthetic lethal
RAD51D	0.043919	0.99607	-1.2814	0	Synthetic lethal
FANCA	-0.15217	0.90123	-1.2686	0	Synthetic lethal
RAD51B	0.17571	0.83838	-1.2555	0	Synthetic lethal
RBBP8	0.0053097	0.99607	-1.254	0	Synthetic lethal
ATRIP	0.055876	0.99607	-1.1968	0	Synthetic lethal
XRCC2	0.12107	0.95378	-1.1794	0	Synthetic lethal
EXO1	-0.25052	0.75581	-1.1572	0	Synthetic lethal
BARD1	0.15541	0.88971	-1.1571	0	Synthetic lethal
CHEK2	0.011989	0.99607	-1.141	0	Synthetic lethal
BRCA1	0.027802	0.99607	-1.1275	0	Synthetic lethal
PALB2	0.11173	0.95378	-1.059	0	Synthetic lethal
RAD50	-0.12963	0.95378	-1.0582	0	Synthetic lethal
BRIP1	0.026999	0.99607	-1.0459	0	Synthetic lethal
NBN	0.11879	0.95378	-1.0448	0	Synthetic lethal
ATM	0.23292	0.56604	-1.0346	0	Synthetic lethal
ATR	0.32795	0.11765	-1.0292	0	Synthetic lethal
MRE11	0.055541	0.99607	-1.0245	0	Synthetic lethal
BLM	0.065956	0.99607	-1.0087	0	Synthetic lethal
FANCL	-0.074943	0.99607	-0.92317	0	Synthetic lethal
H2AFX	-0.28688	0.64286	-0.9113	0	Synthetic lethal
FANCE	0.0041341	0.99607	-0.87922	0	Synthetic lethal
CHEK1	-0.022568	0.99607	-0.87794	0	Synthetic lethal
RAD51C	-0.16694	0.89933	-0.80087	0	Synthetic lethal
FANCI	-0.2372	0.75581	-0.80037	0	Synthetic lethal
FANCF	0.1026	0.95378	-0.79596	0	Synthetic lethal
WRN	-0.30988	0.56604	-0.66867	0	Synthetic lethal
